Run Title: test
                r(x)                r(y)                r(z)                v(x)                v(y)                v(z)
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
               -0.25                -0.5                0.25          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
              -0.125              -0.375               0.375          1.251e-012          1.251e-012          1.251e-012
                   0               -0.25                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
               0.125              -0.125              -0.375          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
                   0               -0.25                -0.5          1.251e-012          1.251e-012          1.251e-012
                -0.5                -0.5                -0.5          1.251e-012          1.251e-012          1.251e-012
